Word,CEFR,Receptive_freq
halvmörk,B2,1
hämndlysten,B2,1
händelserik,B2,2
händig,A2,3
händig,B1,1
händig,C1,4
hänsynsfull,A2,1
hänsynsfull,C1,2
hänsynslös,C1,2
häpen,B2,3
häpen,C1,5
hård,A1,1
hård,A2,5
hård,B1,11
hård,B2,30
hård,C1,14
hårig,B1,1
härlig,A2,5
härlig,B1,13
härlig,B2,15
härlig,C1,4
harmonisk,B1,3
harmonisk,B2,3
hastig,B1,1
hastig,B2,3
hastig,C1,1
hatisk,C1,1
hawaiiansk,C1,1
hebreisk,B2,1
hebreisk,C1,1
hederlig,B1,5
hederlig,B2,1
hederlig,C1,1
hednisk,B2,2
hejdlös,C1,3
hektisk,B1,2
hel,A1,13
hel,A2,68
hel,B1,120
hel,B2,171
hel,C1,131
helig,A2,1
helig,B1,3
helig,B2,2
helig,C1,6
helskinnad,C1,3
helstekt,B2,1
helsvensk,A1,1
helsvensk,B1,1
helvit,B2,2
hembakad,B1,3
hembakt,B2,1
hembakt,C1,1
hemkär,C1,2
hemlig,C1,7
hemlighetsfull,B2,1
hemlighetsfull,C1,3
hemlös,B2,7
hemmavarande,B1,1
hemmavarande,C1,2
hemsk,A2,1
hemsk,B1,5
hemsk,B2,8
hemsk,C1,3
heroisk,B1,1
het,A1,1
het,A2,1
het,B1,2
het,B2,3
het,C1,12
heterogen,C1,4
heterosexuell,C1,3
hierarkisk,B1,1
hierarkisk,C1,2
himmelsk,B2,1
himmelsk,C1,1
historisk,A2,2
historisk,B1,12
historisk,B2,8
historisk,C1,5
hjälplös,B2,2
hjälpsam,A2,1
hjälpsam,B1,3
hjälpsam,B2,1
hjälpsam,C1,1
hjärtlös,B1,1
hjärtlös,C1,1
hjärtsjuk,B1,1
hög,A1,1
hög,A2,11
hög,B1,68
hög,B2,97
hög,C1,82
höger,A1,1
höger,A2,1
höger,B1,6
höger,B2,9
höger,C1,9
högklackad,B1,3
högklackad,C1,2
högklassig,B2,1
högljudd,B1,1
högljudd,B2,2
högljudd,C1,1
högtidlig,B1,1
högtidlig,B2,4
högtidlig,C1,1
holländsk,B1,1
holländsk,B2,1
holländsk,C1,3
homo,C1,1
homogen,C1,4
homosexuell,C1,25
hopfällbar,B1,1
hopfällbar,C1,1
hoppfull,B1,1
hoppfull,C1,1
hopplös,A2,5
hopplös,B1,1
hopplös,C1,1
hörbar,C1,4
hotfull,B1,1
hotfull,B2,2
hotfull,C1,4
hövlig,B2,1
humanitär,B1,1
humoristisk,B1,2
humoristisk,B2,7
humoristisk,C1,1
hundrade,A2,3
hungrig,A1,7
hungrig,A2,7
hungrig,B1,14
hungrig,B2,5
hungrig,C1,8
hurdan,A2,1
hurtig,B2,1
hurtig,C1,2
huslig,A2,2
huvudsaklig,B1,1
hygglig,A2,1
hygglig,B1,2
hygglig,C1,4
hysterisk,B1,2
hysterisk,C1,1
icke-svensk,C1,4
icke-verbal,C1,5
idealisk,B2,1
idealisk,C1,1
ideell,B2,6
identisk,C1,2
ideologisk,C1,2
idérik,B1,1
idérik,C1,2
idiomatisk,B2,1
idiomatisk,C1,3
idiotisk,A2,2
idiotisk,B1,1
idiotisk,C1,2
ihållande,B1,2
ihållande,C1,4
illaluktande,B1,2
illegal,C1,1
ilsken,B1,3
ilsken,B2,4
ilsken,C1,3
imbecill,C1,2
impopulär,B1,1
impopulär,C1,1
impulsiv,B1,1
impulsiv,B2,1
impulsiv,C1,3
inbunden,B2,2
inbunden,C1,1
indirekt,A2,2
indirekt,B1,12
indirekt,B2,7
indirekt,C1,3
indisk,A1,1
indisk,A2,2
indisk,B1,1
indisk,B2,1
indisk,C1,4
individuell,B2,4
individuell,C1,3
indoeuropeisk,B1,2
indoeuropeisk,B2,4
indoeuropeisk,C1,9
indonesisk,A2,1
indonesisk,B2,1
industriell,B1,1
infantil,B1,1
infödd,B2,1
infödd,C1,12
